timestamp,frame,rr_interval,time
2000-01-01_00:00:00.050781+0000,0,0.0,2000-01-01_00:00:00.050781+0000
2000-01-01_00:00:00.859375+0000,207,808.59375,2000-01-01_00:00:00.859375+0000
2000-01-01_00:00:01.691406+0000,420,832.03125,2000-01-01_00:00:01.691406+0000
2000-01-01_00:00:02.507812+0000,629,816.40625,2000-01-01_00:00:02.507812+0000
2000-01-01_00:00:03.332031+0000,840,824.21875,2000-01-01_00:00:03.332031+0000
2000-01-01_00:00:04.167968+0000,1054,835.9375,2000-01-01_00:00:04.167968+0000
2000-01-01_00:00:04.988281+0000,1264,820.3125,2000-01-01_00:00:04.988281+0000
2000-01-01_00:00:05.820312+0000,1477,832.03125,2000-01-01_00:00:05.820312+0000
2000-01-01_00:00:06.656250+0000,1691,835.9375,2000-01-01_00:00:06.656250+0000
2000-01-01_00:00:07.476562+0000,1901,820.3125,2000-01-01_00:00:07.476562+0000
2000-01-01_00:00:08.292968+0000,2110,816.40625,2000-01-01_00:00:08.292968+0000
2000-01-01_00:00:09.140625+0000,2327,847.65625,2000-01-01_00:00:09.140625+0000
2000-01-01_00:00:09.933593+0000,2530,792.96875,2000-01-01_00:00:09.933593+0000
2000-01-01_00:00:10.746093+0000,2738,812.5,2000-01-01_00:00:10.746093+0000
2000-01-01_00:00:11.574218+0000,2950,828.125,2000-01-01_00:00:11.574218+0000
2000-01-01_00:00:12.406250+0000,3163,832.03125,2000-01-01_00:00:12.406250+0000
2000-01-01_00:00:13.195312+0000,3365,789.0625,2000-01-01_00:00:13.195312+0000
2000-01-01_00:00:14.007812+0000,3573,812.5,2000-01-01_00:00:14.007812+0000
2000-01-01_00:00:14.828125+0000,3783,820.3125,2000-01-01_00:00:14.828125+0000
2000-01-01_00:00:15.644531+0000,3992,816.40625,2000-01-01_00:00:15.644531+0000
2000-01-01_00:00:16.453125+0000,4199,808.59375,2000-01-01_00:00:16.453125+0000
2000-01-01_00:00:17.304687+0000,4417,851.5625,2000-01-01_00:00:17.304687+0000
2000-01-01_00:00:18.097656+0000,4620,792.96875,2000-01-01_00:00:18.097656+0000
2000-01-01_00:00:18.925781+0000,4832,828.125,2000-01-01_00:00:18.925781+0000
2000-01-01_00:00:19.765625+0000,5047,839.84375,2000-01-01_00:00:19.765625+0000
2000-01-01_00:00:20.589843+0000,5258,824.21875,2000-01-01_00:00:20.589843+0000
2000-01-01_00:00:21.410156+0000,5468,820.3125,2000-01-01_00:00:21.410156+0000
2000-01-01_00:00:22.250000+0000,5683,839.84375,2000-01-01_00:00:22.250000+0000
2000-01-01_00:00:23.070312+0000,5893,820.3125,2000-01-01_00:00:23.070312+0000
2000-01-01_00:00:23.878906+0000,6100,808.59375,2000-01-01_00:00:23.878906+0000
2000-01-01_00:00:24.703125+0000,6311,824.21875,2000-01-01_00:00:24.703125+0000
2000-01-01_00:00:25.531250+0000,6523,828.125,2000-01-01_00:00:25.531250+0000
2000-01-01_00:00:26.355468+0000,6734,824.21875,2000-01-01_00:00:26.355468+0000
2000-01-01_00:00:27.175781+0000,6944,820.3125,2000-01-01_00:00:27.175781+0000
2000-01-01_00:00:28.042968+0000,7166,867.1875,2000-01-01_00:00:28.042968+0000
2000-01-01_00:00:28.855468+0000,7374,812.5,2000-01-01_00:00:28.855468+0000
2000-01-01_00:00:29.675781+0000,7584,820.3125,2000-01-01_00:00:29.675781+0000
2000-01-01_00:00:30.519531+0000,7800,843.75,2000-01-01_00:00:30.519531+0000
2000-01-01_00:00:31.339843+0000,8010,820.3125,2000-01-01_00:00:31.339843+0000
2000-01-01_00:00:32.160156+0000,8220,820.3125,2000-01-01_00:00:32.160156+0000
2000-01-01_00:00:33.011718+0000,8438,851.5625,2000-01-01_00:00:33.011718+0000
2000-01-01_00:00:33.839843+0000,8650,828.125,2000-01-01_00:00:33.839843+0000
2000-01-01_00:00:34.640625+0000,8855,800.78125,2000-01-01_00:00:34.640625+0000
2000-01-01_00:00:35.472656+0000,9068,832.03125,2000-01-01_00:00:35.472656+0000
2000-01-01_00:00:36.316406+0000,9284,843.75,2000-01-01_00:00:36.316406+0000
2000-01-01_00:00:37.121093+0000,9490,804.6875,2000-01-01_00:00:37.121093+0000
2000-01-01_00:00:37.941406+0000,9700,820.3125,2000-01-01_00:00:37.941406+0000
2000-01-01_00:00:38.777343+0000,9914,835.9375,2000-01-01_00:00:38.777343+0000
2000-01-01_00:00:39.597656+0000,10124,820.3125,2000-01-01_00:00:39.597656+0000
2000-01-01_00:00:40.421875+0000,10335,824.21875,2000-01-01_00:00:40.421875+0000
2000-01-01_00:00:41.265625+0000,10551,843.75,2000-01-01_00:00:41.265625+0000
2000-01-01_00:00:42.082031+0000,10760,816.40625,2000-01-01_00:00:42.082031+0000
2000-01-01_00:00:42.906250+0000,10971,824.21875,2000-01-01_00:00:42.906250+0000
2000-01-01_00:00:43.738281+0000,11184,832.03125,2000-01-01_00:00:43.738281+0000
2000-01-01_00:00:44.562500+0000,11395,824.21875,2000-01-01_00:00:44.562500+0000
2000-01-01_00:00:45.382812+0000,11605,820.3125,2000-01-01_00:00:45.382812+0000
2000-01-01_00:00:46.207031+0000,11816,824.21875,2000-01-01_00:00:46.207031+0000
2000-01-01_00:00:47.046875+0000,12031,839.84375,2000-01-01_00:00:47.046875+0000
2000-01-01_00:00:47.871093+0000,12242,824.21875,2000-01-01_00:00:47.871093+0000
2000-01-01_00:00:48.722656+0000,12460,851.5625,2000-01-01_00:00:48.722656+0000
2000-01-01_00:00:49.539062+0000,12669,816.40625,2000-01-01_00:00:49.539062+0000
2000-01-01_00:00:50.359375+0000,12879,820.3125,2000-01-01_00:00:50.359375+0000
2000-01-01_00:00:51.187500+0000,13091,828.125,2000-01-01_00:00:51.187500+0000
2000-01-01_00:00:52.027343+0000,13306,839.84375,2000-01-01_00:00:52.027343+0000
2000-01-01_00:00:52.843750+0000,13515,816.40625,2000-01-01_00:00:52.843750+0000
2000-01-01_00:00:53.667968+0000,13726,824.21875,2000-01-01_00:00:53.667968+0000
2000-01-01_00:00:54.515625+0000,13943,847.65625,2000-01-01_00:00:54.515625+0000
2000-01-01_00:00:55.332031+0000,14152,816.40625,2000-01-01_00:00:55.332031+0000
2000-01-01_00:00:56.152343+0000,14362,820.3125,2000-01-01_00:00:56.152343+0000
2000-01-01_00:00:56.992187+0000,14577,839.84375,2000-01-01_00:00:56.992187+0000
2000-01-01_00:00:57.808593+0000,14786,816.40625,2000-01-01_00:00:57.808593+0000
2000-01-01_00:00:58.632812+0000,14997,824.21875,2000-01-01_00:00:58.632812+0000
2000-01-01_00:00:59.496093+0000,15218,863.28125,2000-01-01_00:00:59.496093+0000
2000-01-01_00:01:00.300781+0000,15424,804.6875,2000-01-01_00:01:00.300781+0000
2000-01-01_00:01:01.128906+0000,15636,828.125,2000-01-01_00:01:01.128906+0000
2000-01-01_00:01:01.996093+0000,15858,867.1875,2000-01-01_00:01:01.996093+0000
2000-01-01_00:01:02.808593+0000,16066,812.5,2000-01-01_00:01:02.808593+0000
2000-01-01_00:01:03.632812+0000,16277,824.21875,2000-01-01_00:01:03.632812+0000
2000-01-01_00:01:04.472656+0000,16492,839.84375,2000-01-01_00:01:04.472656+0000
2000-01-01_00:01:05.304687+0000,16705,832.03125,2000-01-01_00:01:05.304687+0000
